,Class,Total distance [yd],Distance / min [yd/min],Maximum speed [mph],Average speed [mph],Sprints,Distance in Speed zone 2 [yd] (0.10 - 2.59 mph),Distance in Speed zone 3 [yd] (2.60 - 5.13 mph),Distance in Speed zone 4 [yd] (5.14 - 8.38 mph),Distance in Speed zone 5 [yd] (8.39- mph),Number of accelerations (-50.00 - -3.00 m/s),Number of accelerations (-2.99 - -2.00 m/s),Number of accelerations (-1.99 - -1.00 m/s),Number of accelerations (-0.99 - -0.50 m/s),Number of accelerations (0.50 - 0.99 m/s),Number of accelerations (1.00 - 1.99 m/s),Number of accelerations (2.00 - 2.99 m/s),Number of accelerations (3.00 - 50.00 m/s),Min Played,Total accelerations
52,Defender,13803,82,17.1,2.9,0.21686746987951808,0.1418532203144244,0.3048612620444831,0.36535535753097154,0.18749547199884084,0.002723867892407218,0.026557711950970377,0.17432754511406195,0.3040517534899557,0.29043241402791964,0.16785835886959483,0.030303030303030304,0.003745318352059925,83,2937.0
54,Midfielder,7345,44,17.5,1.6,0.52,0.16201497617426822,0.253641933287951,0.3626957113682777,0.22083049693669163,0.0069084628670120895,0.025906735751295335,0.16407599309153714,0.3223949337938975,0.29591249280368453,0.14853195164075994,0.03051237766263673,0.0057570523891767415,25,1737.0
55,Forward,3219,19,14.6,0.7,2.0,0.2749301025163094,0.3181112146629388,0.29916123019571295,0.10593351972662317,0.005197505197505198,0.02390852390852391,0.13201663201663202,0.3783783783783784,0.32536382536382535,0.11330561330561331,0.018711018711018712,0.0031185031185031187,2,962.0
56,Midfielder,13810,82,18.3,3.2,2.5454545454545454,0.10340333091962346,0.34742939898624187,0.36502534395365677,0.18406951484431572,0.008677685950413223,0.0371900826446281,0.17314049586776858,0.29421487603305785,0.2619834710743802,0.17727272727272728,0.04132231404958678,0.006198347107438017,11,2420.0
58,Midfielder,13782,82,21.6,2.9,0.18681318681318682,0.13401538238281818,0.303656943839791,0.36068785372224643,0.20134958641706574,0.00890092879256966,0.03173374613003096,0.17414860681114552,0.3026315789473684,0.27786377708978327,0.1660216718266254,0.0348297213622291,0.003869969040247678,91,2584.0
60,Midfielder,14089,84,17.6,3.0,0.33707865168539325,0.12946270139825394,0.313223081836894,0.3358648591099439,0.2210234935055717,0.00993271387375841,0.041653316244793334,0.17238064722845242,0.29381608458827296,0.26081384171739824,0.17270105735341237,0.042614546619673184,0.006087792374239026,89,3121.0
61,Defender,4730,28,14.4,1.0,0.024390243902439025,0.18054968287526427,0.30465116279069765,0.37357293868921776,0.14059196617336153,0.00505902192242833,0.02866779089376054,0.1736930860033727,0.3069139966273187,0.28836424957841483,0.163575042158516,0.03288364249578415,0.0008431703204047217,82,1186.0
63,Forward,10278,61,17.3,2.3,0.3,0.14292663942401246,0.28760459233313873,0.3784783031718233,0.1905039891029383,0.005500550055005501,0.037953795379537955,0.17216721672167218,0.2992299229922992,0.27832783278327833,0.1617161716171617,0.03850385038503851,0.006600660066006601,60,1818.0
64,Defender,13106,78,17.8,2.8,0.14285714285714285,0.16877765908744086,0.33061193346558826,0.3750190752327178,0.12520982755989624,0.005289139633286318,0.03455571227080395,0.18124118476727785,0.2810296191819464,0.30289139633286316,0.16784203102961917,0.023977433004231313,0.003173483779971791,91,2836.0
66,Forward,11741,69,17.4,2.7,0.3717948717948718,0.10459075036197939,0.32126735371774123,0.3504812196576101,0.22340516140022146,0.007295466388744137,0.0297029702970297,0.1521625846795206,0.3512245961438249,0.2569046378322043,0.14799374674309537,0.044815007816571134,0.009900990099009901,78,1919.0
68,Forward,12102,71,16.7,2.6,0.3253012048192771,0.16303090398281275,0.32044290199966946,0.3025946124607503,0.2137663196165923,0.01721664275466284,0.04591104734576758,0.16355810616929697,0.3008130081300813,0.2635102821616451,0.16164514586322334,0.03825920612147298,0.009086561453849833,83,2091.0
69,Defender,10008,59,14.5,2.1,0.3333333333333333,0.14768185451638688,0.3224420463629097,0.3472222222222222,0.18225419664268586,0.008068343616516375,0.03939250118652112,0.170859041290935,0.29900332225913623,0.2724252491694352,0.17133364973896537,0.03512102515424775,0.0037968675842429997,57,2107.0
70,Midfielder,12175,71,18.0,2.6,0.325,0.14628336755646817,0.38455852156057496,0.3160574948665298,0.15277207392197126,0.007039155301363837,0.03695556533216014,0.14078310602727673,0.332160140783106,0.302683677958645,0.13682358117025956,0.03739551253849538,0.0061592608886933565,80,2273.0
71,Defender,13772,81,20.7,2.9,0.18888888888888888,0.15821957595120534,0.31200987510891665,0.36900958466453676,0.16061574208539064,0.008447304907481898,0.029364440868865648,0.16009654062751408,0.31174577634754624,0.2948511665325825,0.16049879324215607,0.031375703942075624,0.0036202735317779565,90,2486.0
